scenario,metric,value
recovery_evidence,duration_ms,16881
recovery_evidence,event_rate_hz,3.377
recovery_evidence,events_total,57
recovery_evidence,inj_events,57
recovery_evidence,mb_delta_attempted,9
recovery_evidence,mb_delta_processed,9
recovery_evidence,mb_drop_over_attempted_pct,0.00
recovery_evidence,mb_processed_over_attempted_pct,100.00
recovery_evidence,sensor_1_avg_ms,773.94
recovery_evidence,sensor_1_events,19
recovery_evidence,sensor_1_p50_ms,2006
recovery_evidence,sensor_1_p95_ms,2027
recovery_evidence,sensor_1_p99_ms,2027
recovery_evidence,sensor_2_avg_ms,773.89
recovery_evidence,sensor_2_events,19
recovery_evidence,sensor_2_p50_ms,2007
recovery_evidence,sensor_2_p95_ms,2027
recovery_evidence,sensor_2_p99_ms,2027
recovery_evidence,sensor_3_avg_ms,773.89
recovery_evidence,sensor_3_events,19
recovery_evidence,sensor_3_p50_ms,2007
recovery_evidence,sensor_3_p95_ms,2027
recovery_evidence,sensor_3_p99_ms,2027
recovery_evidence,status_4,12
recovery_evidence,status_5,45
recovery_evidence,ts_max_ms,17389
recovery_evidence,ts_min_ms,508
